frame_index,timestamp,elapsed_ms,num_poses_detected
0,2026-03-20T01:15:03.462,4355.745,1
1,2026-03-20T01:15:03.868,82.835,1
2,2026-03-20T01:15:03.952,78.697,1
3,2026-03-20T01:15:04.035,78.446,1
4,2026-03-20T01:15:04.116,76.521,1
5,2026-03-20T01:15:04.201,79.669,1
6,2026-03-20T01:15:04.280,74.989,1
7,2026-03-20T01:15:04.364,79.908,1
8,2026-03-20T01:15:04.447,78.644,1
9,2026-03-20T01:15:04.529,78.056,1
10,2026-03-20T01:15:04.612,78.056,1
11,2026-03-20T01:15:04.696,79.667,1
12,2026-03-20T01:15:04.778,77.714,1
13,2026-03-20T01:15:04.861,78.868,1
14,2026-03-20T01:15:04.943,77.615,1
15,2026-03-20T01:15:05.024,77.057,1
16,2026-03-20T01:15:05.112,83.195,1
17,2026-03-20T01:15:05.197,80.362,1
18,2026-03-20T01:15:05.286,84.005,1
19,2026-03-20T01:15:05.372,80.807,1
20,2026-03-20T01:15:05.456,80.175,1
21,2026-03-20T01:15:05.541,81.461,1
22,2026-03-20T01:15:05.621,75.283,1
23,2026-03-20T01:15:05.703,77.073,1
24,2026-03-20T01:15:05.785,76.001,1
25,2026-03-20T01:15:05.869,79.395,1
26,2026-03-20T01:15:05.951,77.511,1
27,2026-03-20T01:15:06.032,76.111,1
28,2026-03-20T01:15:06.116,80.357,1
29,2026-03-20T01:15:06.199,78.023,1
30,2026-03-20T01:15:06.282,78.866,1
31,2026-03-20T01:15:06.365,79.146,1
32,2026-03-20T01:15:06.447,77.881,1
33,2026-03-20T01:15:06.529,76.992,1
34,2026-03-20T01:15:06.616,82.645,1
35,2026-03-20T01:15:06.703,83.214,1
36,2026-03-20T01:15:06.785,77.468,1
37,2026-03-20T01:15:06.867,77.518,1
38,2026-03-20T01:15:06.950,77.728,1
39,2026-03-20T01:15:07.039,85.002,1
40,2026-03-20T01:15:07.124,79.460,1
41,2026-03-20T01:15:07.216,87.744,1
42,2026-03-20T01:15:07.300,79.139,1
43,2026-03-20T01:15:07.381,76.493,1
44,2026-03-20T01:15:07.464,78.732,1
45,2026-03-20T01:15:07.550,81.386,1
46,2026-03-20T01:15:07.637,81.606,1
47,2026-03-20T01:15:07.718,78.871,1
48,2026-03-20T01:15:07.799,77.201,1
49,2026-03-20T01:15:07.882,78.115,1
50,2026-03-20T01:15:07.966,79.359,1
51,2026-03-20T01:15:08.045,74.970,1
52,2026-03-20T01:15:08.127,78.192,1
53,2026-03-20T01:15:08.206,74.112,1
54,2026-03-20T01:15:08.286,75.308,1
55,2026-03-20T01:15:08.366,75.750,1
56,2026-03-20T01:15:08.447,76.957,1
57,2026-03-20T01:15:08.528,76.571,1
58,2026-03-20T01:15:08.604,71.747,1
59,2026-03-20T01:15:08.686,78.064,1
60,2026-03-20T01:15:08.770,76.977,1
61,2026-03-20T01:15:08.846,71.774,1
62,2026-03-20T01:15:08.922,71.460,1
63,2026-03-20T01:15:09.009,82.781,1
64,2026-03-20T01:15:09.087,74.353,1
65,2026-03-20T01:15:09.173,81.350,1
66,2026-03-20T01:15:09.259,81.364,1
67,2026-03-20T01:15:09.354,90.270,1
68,2026-03-20T01:15:09.436,78.494,1
69,2026-03-20T01:15:09.527,86.245,1
70,2026-03-20T01:15:09.627,93.444,1
71,2026-03-20T01:15:09.712,80.337,1
72,2026-03-20T01:15:09.795,78.891,1
73,2026-03-20T01:15:09.877,77.605,1
74,2026-03-20T01:15:09.962,81.122,1
75,2026-03-20T01:15:10.048,81.328,1
76,2026-03-20T01:15:10.131,77.230,1
77,2026-03-20T01:15:10.217,81.402,1
78,2026-03-20T01:15:10.299,78.454,1
79,2026-03-20T01:15:10.378,74.411,1
80,2026-03-20T01:15:10.457,74.222,1
81,2026-03-20T01:15:10.542,80.400,1
82,2026-03-20T01:15:10.626,79.292,1
83,2026-03-20T01:15:10.706,75.798,1
84,2026-03-20T01:15:10.789,78.907,1
85,2026-03-20T01:15:10.871,77.773,1
86,2026-03-20T01:15:10.955,78.913,1
87,2026-03-20T01:15:11.041,79.232,1
88,2026-03-20T01:15:11.125,79.077,1
89,2026-03-20T01:15:11.203,73.626,1
90,2026-03-20T01:15:11.286,78.708,1
91,2026-03-20T01:15:11.370,79.362,1
92,2026-03-20T01:15:11.456,81.705,1
93,2026-03-20T01:15:11.538,77.223,1
94,2026-03-20T01:15:11.621,78.815,1
95,2026-03-20T01:15:11.704,79.065,1
96,2026-03-20T01:15:11.787,78.231,1
97,2026-03-20T01:15:11.868,76.407,1
98,2026-03-20T01:15:11.947,74.864,1
99,2026-03-20T01:15:12.035,82.766,1
100,2026-03-20T01:15:12.118,77.508,1
101,2026-03-20T01:15:12.202,79.046,1
102,2026-03-20T01:15:12.285,78.861,1
103,2026-03-20T01:15:12.361,71.523,1
104,2026-03-20T01:15:12.443,77.456,1
105,2026-03-20T01:15:12.524,76.825,1
106,2026-03-20T01:15:12.604,75.704,1
107,2026-03-20T01:15:12.681,73.289,1
108,2026-03-20T01:15:12.756,70.241,1
109,2026-03-20T01:15:12.838,77.292,1
110,2026-03-20T01:15:12.922,80.007,1
111,2026-03-20T01:15:12.995,70.146,1
112,2026-03-20T01:15:13.076,76.843,1
113,2026-03-20T01:15:13.160,80.423,1
114,2026-03-20T01:15:13.239,75.018,1
115,2026-03-20T01:15:13.323,78.659,1
116,2026-03-20T01:15:13.401,73.647,1
117,2026-03-20T01:15:13.487,81.835,1
118,2026-03-20T01:15:13.567,75.189,1
119,2026-03-20T01:15:13.655,82.330,1
120,2026-03-20T01:15:13.747,87.210,1
121,2026-03-20T01:15:13.838,86.061,1
122,2026-03-20T01:15:13.924,80.806,1
123,2026-03-20T01:15:14.011,83.165,1
124,2026-03-20T01:15:14.095,78.924,1
125,2026-03-20T01:15:14.176,76.916,1
126,2026-03-20T01:15:14.254,73.452,1
127,2026-03-20T01:15:14.334,75.013,1
128,2026-03-20T01:15:14.413,75.153,1
129,2026-03-20T01:15:14.489,71.096,1
130,2026-03-20T01:15:14.569,74.735,1
131,2026-03-20T01:15:14.649,75.943,1
132,2026-03-20T01:15:14.725,71.373,1
133,2026-03-20T01:15:14.809,79.865,1
134,2026-03-20T01:15:14.883,69.803,1
135,2026-03-20T01:15:14.962,73.810,1
136,2026-03-20T01:15:15.045,78.663,1
137,2026-03-20T01:15:15.127,77.988,1
138,2026-03-20T01:15:15.211,79.204,1
139,2026-03-20T01:15:15.290,74.156,1
140,2026-03-20T01:15:15.369,75.040,1
141,2026-03-20T01:15:15.449,75.604,1
142,2026-03-20T01:15:15.528,73.879,1
143,2026-03-20T01:15:15.606,74.194,1
144,2026-03-20T01:15:15.684,73.213,1
145,2026-03-20T01:15:15.767,79.494,1
146,2026-03-20T01:15:15.843,70.539,1
147,2026-03-20T01:15:15.923,76.131,1
148,2026-03-20T01:15:16.002,74.797,1
149,2026-03-20T01:15:16.084,77.554,1
150,2026-03-20T01:15:16.168,79.725,1
151,2026-03-20T01:15:16.246,73.787,1
152,2026-03-20T01:15:16.326,75.632,1
153,2026-03-20T01:15:16.406,76.010,1
154,2026-03-20T01:15:16.488,76.807,1
155,2026-03-20T01:15:16.570,77.580,1
156,2026-03-20T01:15:16.653,77.777,1
157,2026-03-20T01:15:16.729,71.809,1
158,2026-03-20T01:15:16.812,78.791,1
159,2026-03-20T01:15:16.896,78.778,1
160,2026-03-20T01:15:16.981,80.741,1
161,2026-03-20T01:15:17.064,78.468,1
162,2026-03-20T01:15:17.158,88.652,1
163,2026-03-20T01:15:17.242,79.675,1
164,2026-03-20T01:15:17.324,77.563,1
165,2026-03-20T01:15:17.409,80.193,1
166,2026-03-20T01:15:17.496,83.006,1
167,2026-03-20T01:15:17.584,82.727,1
168,2026-03-20T01:15:17.669,79.604,1
169,2026-03-20T01:15:17.757,83.913,1
170,2026-03-20T01:15:17.846,84.651,1
171,2026-03-20T01:15:17.947,96.547,1
172,2026-03-20T01:15:18.048,95.891,1
173,2026-03-20T01:15:18.136,84.246,1
174,2026-03-20T01:15:18.223,82.236,1
175,2026-03-20T01:15:18.311,83.173,1
176,2026-03-20T01:15:18.397,81.885,1
177,2026-03-20T01:15:18.483,81.648,1
178,2026-03-20T01:15:18.570,83.131,1
179,2026-03-20T01:15:18.655,80.122,1
180,2026-03-20T01:15:18.746,86.532,1
181,2026-03-20T01:15:18.831,80.480,1
182,2026-03-20T01:15:18.909,74.185,1
183,2026-03-20T01:15:18.997,83.559,1
184,2026-03-20T01:15:19.078,76.602,1
185,2026-03-20T01:15:19.164,80.221,1
186,2026-03-20T01:15:19.250,78.741,1
187,2026-03-20T01:15:19.332,77.021,1
188,2026-03-20T01:15:19.413,74.971,1
189,2026-03-20T01:15:19.490,71.546,1
190,2026-03-20T01:15:19.572,76.162,1
191,2026-03-20T01:15:19.657,80.535,1
192,2026-03-20T01:15:19.738,74.953,1
193,2026-03-20T01:15:19.819,75.137,1
194,2026-03-20T01:15:19.898,74.729,1
195,2026-03-20T01:15:19.984,81.740,1
196,2026-03-20T01:15:20.072,82.902,1
197,2026-03-20T01:15:20.160,82.646,1
198,2026-03-20T01:15:20.245,79.638,1
199,2026-03-20T01:15:20.325,74.834,1
200,2026-03-20T01:15:20.409,79.277,1
201,2026-03-20T01:15:20.491,77.474,1
202,2026-03-20T01:15:20.573,77.675,1
203,2026-03-20T01:15:20.652,75.048,1
204,2026-03-20T01:15:20.737,80.168,1
205,2026-03-20T01:15:20.820,77.852,1
206,2026-03-20T01:15:20.894,69.363,1
207,2026-03-20T01:15:20.975,75.929,1
208,2026-03-20T01:15:21.055,77.548,1
209,2026-03-20T01:15:21.133,74.116,1
210,2026-03-20T01:15:21.220,81.722,1
211,2026-03-20T01:15:21.304,79.789,1
212,2026-03-20T01:15:21.386,77.833,1
213,2026-03-20T01:15:21.465,74.453,1
214,2026-03-20T01:15:21.549,79.080,1
215,2026-03-20T01:15:21.634,78.800,1
216,2026-03-20T01:15:21.713,74.639,1
217,2026-03-20T01:15:21.794,75.243,1
218,2026-03-20T01:15:21.872,72.098,1
219,2026-03-20T01:15:21.957,80.165,1
220,2026-03-20T01:15:22.047,83.296,1
221,2026-03-20T01:15:22.131,79.390,1
222,2026-03-20T01:15:22.219,82.979,1
223,2026-03-20T01:15:22.306,82.547,1
224,2026-03-20T01:15:22.384,73.068,1
225,2026-03-20T01:15:22.466,76.112,1
226,2026-03-20T01:15:22.547,76.082,1
227,2026-03-20T01:15:22.631,78.674,1
228,2026-03-20T01:15:22.706,68.432,1
229,2026-03-20T01:15:22.788,74.211,1
230,2026-03-20T01:15:22.867,74.555,1
231,2026-03-20T01:15:22.944,72.875,1
232,2026-03-20T01:15:23.022,74.300,1
233,2026-03-20T01:15:23.111,83.137,1
234,2026-03-20T01:15:23.195,79.553,1
235,2026-03-20T01:15:23.279,79.923,1
236,2026-03-20T01:15:23.364,79.547,1
237,2026-03-20T01:15:23.449,79.658,1
238,2026-03-20T01:15:23.536,82.194,1
239,2026-03-20T01:15:23.619,75.519,1
240,2026-03-20T01:15:23.702,77.102,1
241,2026-03-20T01:15:23.786,78.191,1
242,2026-03-20T01:15:23.870,78.709,1
243,2026-03-20T01:15:23.947,73.515,1
244,2026-03-20T01:15:24.027,74.846,1
245,2026-03-20T01:15:24.111,79.673,1
246,2026-03-20T01:15:24.198,81.305,1
247,2026-03-20T01:15:24.281,78.659,1
248,2026-03-20T01:15:24.359,71.493,1
249,2026-03-20T01:15:24.436,72.115,1
250,2026-03-20T01:15:24.515,73.638,1
251,2026-03-20T01:15:24.595,74.795,1
252,2026-03-20T01:15:24.677,77.298,1
253,2026-03-20T01:15:24.758,76.302,1
254,2026-03-20T01:15:24.835,72.376,1
255,2026-03-20T01:15:24.916,75.893,1
256,2026-03-20T01:15:25.002,81.336,1
