frame_index,timestamp,elapsed_ms,num_poses_detected
0,2026-03-20T01:09:43.897,2462.845,1
1,2026-03-20T01:09:44.006,56.381,1
2,2026-03-20T01:09:44.065,54.780,1
3,2026-03-20T01:09:44.126,56.290,1
4,2026-03-20T01:09:44.184,54.619,1
5,2026-03-20T01:09:44.241,52.854,1
6,2026-03-20T01:09:44.298,52.881,1
7,2026-03-20T01:09:44.358,55.408,1
8,2026-03-20T01:09:44.423,61.138,1
9,2026-03-20T01:09:44.485,57.596,1
10,2026-03-20T01:09:44.542,51.912,1
11,2026-03-20T01:09:44.598,52.919,1
12,2026-03-20T01:09:44.654,51.801,1
13,2026-03-20T01:09:44.710,51.785,1
14,2026-03-20T01:09:44.766,51.803,1
15,2026-03-20T01:09:44.821,51.448,1
16,2026-03-20T01:09:44.875,49.819,1
17,2026-03-20T01:09:44.928,48.952,1
18,2026-03-20T01:09:44.983,50.992,1
19,2026-03-20T01:09:45.038,51.710,1
20,2026-03-20T01:09:45.094,51.749,1
21,2026-03-20T01:09:45.150,52.088,1
22,2026-03-20T01:09:45.207,52.655,1
23,2026-03-20T01:09:45.264,52.494,1
24,2026-03-20T01:09:45.319,51.924,1
25,2026-03-20T01:09:45.375,51.769,1
26,2026-03-20T01:09:45.430,51.399,1
27,2026-03-20T01:09:45.486,51.235,1
28,2026-03-20T01:09:45.539,49.908,1
29,2026-03-20T01:09:45.593,50.082,1
30,2026-03-20T01:09:45.647,50.121,1
31,2026-03-20T01:09:45.699,50.116,1
32,2026-03-20T01:09:45.754,50.552,1
33,2026-03-20T01:09:45.810,50.673,1
34,2026-03-20T01:09:45.864,49.672,1
35,2026-03-20T01:09:45.919,50.853,1
36,2026-03-20T01:09:45.975,50.523,1
37,2026-03-20T01:09:46.032,52.812,1
38,2026-03-20T01:09:46.089,52.870,1
39,2026-03-20T01:09:46.147,54.430,1
40,2026-03-20T01:09:46.205,53.421,1
41,2026-03-20T01:09:46.263,53.681,1
42,2026-03-20T01:09:46.322,53.331,1
43,2026-03-20T01:09:46.377,52.302,1
44,2026-03-20T01:09:46.434,52.745,1
45,2026-03-20T01:09:46.490,51.478,1
46,2026-03-20T01:09:46.545,49.713,1
47,2026-03-20T01:09:46.599,50.064,1
48,2026-03-20T01:09:46.653,49.767,1
49,2026-03-20T01:09:46.709,51.265,1
50,2026-03-20T01:09:46.768,54.485,1
51,2026-03-20T01:09:46.825,53.046,1
52,2026-03-20T01:09:46.880,50.215,1
53,2026-03-20T01:09:46.933,49.506,1
54,2026-03-20T01:09:46.989,51.398,1
55,2026-03-20T01:09:47.045,50.232,1
56,2026-03-20T01:09:47.098,49.422,1
57,2026-03-20T01:09:47.153,50.428,1
58,2026-03-20T01:09:47.208,50.488,1
59,2026-03-20T01:09:47.264,52.186,1
